Env,Agent,Down,Dist,Field,Top_Choice,Top_Prob,Pass_Prob,Run_Prob,Punt_Prob,FG_Prob
nfl-bucketed,ppo,4,Long,Opp 27,SHOTGUN,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 22,SHOTGUN,0.999,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 17,SHOTGUN,0.999,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 12,SHOTGUN,0.998,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 7,SHOTGUN,0.996,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,Long,Opp 2,SHOTGUN,0.994,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,V.Long,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,V.Long,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,V.Long,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,V.Long,Own 18,UNDER CENTER,0.999,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,4,V.Long,Own 23,UNDER CENTER,0.989,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,4,V.Long,Own 28,UNDER CENTER,0.875,1.0,0.0,0.0,0.0
