# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
179,1768579045.518906,572800,0.010445659048855305,1.9597381353378296,-0.021840335801243782,2.042541980743408
180,1768579051.7127197,576000,0.010445659048855305,1.9597381353378296,-0.022372424602508545,1.910207748413086
181,1768579057.1287844,579200,0.01014395896345377,2.0033481121063232,-0.022372424602508545,1.910207748413086
182,1768579068.622523,582400,0.010451843962073326,2.054750919342041,-0.022372424602508545,1.910207748413086
183,1768579074.8173425,585600,0.010451843962073326,2.054750919342041,-0.022917000576853752,1.9841433763504028
184,1768579080.310234,588800,0.010384872555732727,1.8679322004318237,-0.022917000576853752,1.9841433763504028
185,1768579091.696314,592000,0.010579181835055351,1.716911792755127,-0.022917000576853752,1.9841433763504028
186,1768579097.7648604,595200,0.010579181835055351,1.716911792755127,-0.02329559437930584,1.8302679061889648
187,1768579103.0534925,598400,0.01068873517215252,2.22670841217041,-0.02329559437930584,1.8302679061889648
188,1768579114.58697,601600,0.01026797667145729,2.068094491958618,-0.02329559437930584,1.8302679061889648
189,1768579120.6584487,604800,0.01026797667145729,2.068094491958618,-0.023818936198949814,2.080698251724243
190,1768579125.8883884,608000,0.011366601102054119,1.7070505619049072,-0.023818936198949814,2.080698251724243
191,1768579137.189265,611200,0.011588012799620628,2.0213124752044678,-0.023818936198949814,2.080698251724243
192,1768579143.3481476,614400,0.011588012799620628,2.0213124752044678,-0.02379133552312851,1.9454721212387085
193,1768579148.556668,617600,0.012228591367602348,2.0491671562194824,-0.02379133552312851,1.9454721212387085
194,1768579159.9213524,620800,0.013030510395765305,2.122772693634033,-0.02379133552312851,1.9454721212387085
195,1768579166.0163958,624000,0.013030510395765305,2.122772693634033,-0.023815730586647987,2.074258327484131
196,1768579171.2069373,627200,0.013463659211993217,1.9788621664047241,-0.023815730586647987,2.074258327484131
197,1768579182.613792,630400,0.013079504482448101,2.08174729347229,-0.023815730586647987,2.074258327484131
198,1768579188.8992863,633600,0.013079504482448101,2.08174729347229,-0.02388118952512741,1.8801614046096802
199,1768579194.124131,636800,0.013052117079496384,1.8649308681488037,-0.02388118952512741,1.8801614046096802
200,1768579205.5485313,640000,0.013295590877532959,1.9983196258544922,-0.02388118952512741,1.8801614046096802
201,1768579211.6255803,643200,0.013295590877532959,1.9983196258544922,-0.024069901555776596,1.9420793056488037
202,1768579217.0311208,646400,0.012760886922478676,1.8796764612197876,-0.024069901555776596,1.9420793056488037
203,1768579228.4190648,649600,0.012574183754622936,1.9607492685317993,-0.024069901555776596,1.9420793056488037
204,1768579234.3452373,652800,0.012574183754622936,1.9607492685317993,-0.02371356077492237,1.8982104063034058
205,1768579239.8017704,656000,0.01244183536618948,1.9634270668029785,-0.02371356077492237,1.8982104063034058
206,1768579251.2443776,659200,0.013631787151098251,1.9215896129608154,-0.02371356077492237,1.8982104063034058
207,1768579257.0916286,662400,0.013631787151098251,1.9215896129608154,-0.024044232442975044,1.9722753763198853
208,1768579262.7235904,665600,0.013499004766345024,1.91070556640625,-0.024044232442975044,1.9722753763198853
209,1768579274.2105813,668800,0.013539528474211693,2.107273578643799,-0.024044232442975044,1.9722753763198853
210,1768579280.1192589,672000,0.013539528474211693,2.107273578643799,-0.024353764951229095,1.9609228372573853
211,1768579285.6470566,675200,0.014036626555025578,1.9032467603683472,-0.024353764951229095,1.9609228372573853
212,1768579297.023123,678400,0.01277642697095871,2.3164823055267334,-0.024353764951229095,1.9609228372573853
213,1768579302.9894388,681600,0.01277642697095871,2.3164823055267334,-0.023944761604070663,2.1487362384796143
214,1768579308.4271042,684800,0.012360031716525555,2.2168538570404053,-0.023944761604070663,2.1487362384796143
215,1768579319.8573828,688000,0.013073721900582314,1.6961244344711304,-0.023944761604070663,2.1487362384796143
216,1768579325.824973,691200,0.013073721900582314,1.6961244344711304,-0.024121886119246483,1.9448809623718262
217,1768579331.2490618,694400,0.012901930138468742,2.205228090286255,-0.024121886119246483,1.9448809623718262
218,1768579342.6314304,697600,0.012188482098281384,1.9002257585525513,-0.024121886119246483,1.9448809623718262
219,1768579348.5898435,700800,0.012188482098281384,1.9002257585525513,-0.023861542344093323,2.003607749938965
220,1768579354.031918,704000,0.01231558620929718,1.9209749698638916,-0.023861542344093323,2.003607749938965
221,1768579365.4765153,707200,0.012404890730977058,2.1117684841156006,-0.023861542344093323,2.003607749938965
222,1768579371.3512955,710400,0.012404890730977058,2.1117684841156006,-0.023771660402417183,1.996564269065857
223,1768579376.8308973,713600,0.012346426025032997,1.9827224016189575,-0.023771660402417183,1.996564269065857
224,1768579388.3569117,716800,0.012185654602944851,1.9949891567230225,-0.023771660402417183,1.996564269065857
225,1768579394.2641587,720000,0.012185654602944851,1.9949891567230225,-0.02364177629351616,1.9915496110916138
226,1768579399.7832396,723200,0.012469646520912647,2.0508759021759033,-0.02364177629351616,1.9915496110916138
227,1768579411.2152686,726400,0.012263244949281216,1.9284472465515137,-0.02364177629351616,1.9915496110916138
228,1768579417.1202123,729600,0.012263244949281216,1.9284472465515137,-0.023150919005274773,1.9551403522491455
229,1768579422.6530464,732800,0.012473267503082752,2.089526891708374,-0.023150919005274773,1.9551403522491455
230,1768579434.1151106,736000,0.012816469185054302,2.1221892833709717,-0.023150919005274773,1.9551403522491455
231,1768579439.8933122,739200,0.012816469185054302,2.1221892833709717,-0.02319931425154209,2.0450854301452637
232,1768579445.4990985,742400,0.013425729237496853,1.7890865802764893,-0.02319931425154209,2.0450854301452637
233,1768579456.9328184,745600,0.014058551751077175,1.9668248891830444,-0.02319931425154209,2.0450854301452637
234,1768579462.7425108,748800,0.014058551751077175,1.9668248891830444,-0.02363884076476097,1.9953539371490479
235,1768579468.4503944,752000,0.014145825058221817,2.0740180015563965,-0.02363884076476097,1.9953539371490479
236,1768579480.1639752,755200,0.013717565685510635,2.0296103954315186,-0.02363884076476097,1.9953539371490479
237,1768579485.6569219,758400,0.013717565685510635,2.0296103954315186,-0.023543095216155052,2.089681386947632
238,1768579491.4998045,761600,0.012953014113008976,2.145110845565796,-0.023543095216155052,2.089681386947632
239,1768579502.827165,764800,0.012404694221913815,1.946083426475525,-0.023543095216155052,2.089681386947632
240,1768579508.5209544,768000,0.012404694221913815,1.946083426475525,-0.0235209409147501,1.9109505414962769
241,1768579514.1495218,771200,0.012331695295870304,1.9813616275787354,-0.0235209409147501,1.9109505414962769
242,1768579525.431454,774400,0.01158080529421568,1.8334063291549683,-0.0235209409147501,1.9109505414962769
243,1768579531.2562678,777600,0.01158080529421568,1.8334063291549683,-0.02294197492301464,1.8980886936187744
244,1768579536.9339855,780800,0.012006483040750027,1.8534899950027466,-0.02294197492301464,1.8980886936187744
245,1768579548.4215913,784000,0.011982355266809464,1.8563015460968018,-0.02294197492301464,1.8980886936187744
246,1768579554.1585903,787200,0.011982355266809464,1.8563015460968018,-0.022869689390063286,1.848228096961975
247,1768579559.7523491,790400,0.01213161926716566,1.8838026523590088,-0.022869689390063286,1.848228096961975
248,1768579571.1292899,793600,0.012217423878610134,1.7985014915466309,-0.022869689390063286,1.848228096961975
249,1768579577.1087222,796800,0.012217423878610134,1.7985014915466309,-0.023162810131907463,1.8105579614639282
250,1768579582.5146883,800000,0.012275772169232368,1.802895426750183,-0.023162810131907463,1.8105579614639282
251,1768579593.9562302,803200,0.012648390606045723,1.8841512203216553,-0.023162810131907463,1.8105579614639282
252,1768579599.9043233,806400,0.012648390606045723,1.8841512203216553,-0.02274339832365513,1.975967526435852
253,1768579605.3992488,809600,0.013157774694263935,2.0553207397460938,-0.02274339832365513,1.975967526435852
254,1768579616.8277895,812800,0.013273813761770725,2.085594654083252,-0.02274339832365513,1.975967526435852
255,1768579622.8171601,816000,0.013273813761770725,2.085594654083252,-0.02214784175157547,2.0405702590942383
256,1768579628.2519577,819200,0.012475550174713135,1.8936184644699097,-0.02214784175157547,2.0405702590942383
257,1768579639.7424765,822400,0.012698153965175152,1.9282186031341553,-0.02214784175157547,2.0405702590942383
258,1768579645.7634478,825600,0.012698153965175152,1.9282186031341553,-0.022698458284139633,1.8728890419006348
259,1768579651.0833495,828800,0.013507389463484287,1.9544297456741333,-0.022698458284139633,1.8728890419006348
260,1768579662.5336647,832000,0.013693232089281082,1.9966763257980347,-0.022698458284139633,1.8728890419006348
261,1768579668.625741,835200,0.013693232089281082,1.9966763257980347,-0.022465568035840988,1.9280304908752441
262,1768579673.9882917,838400,0.013930861838161945,1.8362239599227905,-0.022465568035840988,1.9280304908752441
263,1768579685.380789,841600,0.014152253977954388,1.9947112798690796,-0.022465568035840988,1.9280304908752441
264,1768579691.541654,844800,0.014152253977954388,1.9947112798690796,-0.022781644016504288,1.966978907585144
265,1768579696.753279,848000,0.014267017133533955,1.9216828346252441,-0.022781644016504288,1.966978907585144
266,1768579708.101338,851200,0.01385477278381586,1.8585281372070312,-0.022781644016504288,1.966978907585144
267,1768579714.476496,854400,0.01385477278381586,1.8585281372070312,-0.0226444099098444,1.8494133949279785
268,1768579719.4465415,857600,0.013660840690135956,1.8198381662368774,-0.0226444099098444,1.8494133949279785
269,1768579730.9606428,860800,0.014584219083189964,2.1171727180480957,-0.0226444099098444,1.8494133949279785
270,1768579737.4484189,864000,0.014584219083189964,2.1171727180480957,-0.02297518588602543,2.0030574798583984
271,1768579742.4188232,867200,0.01491931639611721,1.9468849897384644,-0.02297518588602543,2.0030574798583984
272,1768579753.764823,870400,0.015309792011976242,1.8337359428405762,-0.02297518588602543,2.0030574798583984
